,Title,Author,Goodreads Rating,Description
13,Jungle+Book+(easy+english),Rudyard Kipling,3.93,"The Jungle Book key characters are Mowgli, a boy raised by wolves and Sher Khan, biggest tiger in India. As Baloo the sleepy brown bear, Bagheera the cunning black panther, Kaa the python, and his other animal friends teach their beloved “man-cub” the ways of the jungle, Mowgli gains the strength and wisdom he needs for his frightful fight with Shere Khan, the tiger who robbed him of his human family. But there are also the tales of Rikki-tikki-tavi the mongoose and his “great war” against the vicious cobras Nag and Nagaina; of Toomai, who watches the elephants dance; and of Kotick the white seal, who swims in the Bering Sea."
14,Stories+from+Shakespeare+(abridged),-,3.74,"In Romeo and Juliet, Shakespeare creates a violent world, in which two young people fall in love. It is not simply that their families disapprove; the Montagues and the Capulets are engaged in a blood feud.In this death-filled setting, the movement from love at first sight to the lovers’ final union in death seems almost inevitable. And yet, this play set in an extraordinary world has become the quintessential story of young love. In part because of its exquisite language, it is easy to respond as if it were about all young lovers.The authoritative edition of Romeo and Juliet from The Folger Shakespeare Library, the trusted and widely used Shakespeare series for students and general readers, includes:*Freshly edited text based on the best early printed version of the play*Newly revised explanatory notes conveniently placed on pages facing the text of the play*Scene-by-scene plot summaries*A key to the play’s famous lines and phrases*An introduction to reading Shakespeare’s language*An essay by a leading Shakespeare scholar providing a modern perspective on the play*Fresh images from the Folger Shakespeare Library’s vast holdings of rare books*An up-to-date annotated guide to further reading"
15,Secret+,Rhonda Bryne,4.13,"""One of the most delightful and enduring classics of children's literature, The Secret Garden by Victorian author Frances Hodgson Burnett has remained a firm favorite with children the world over ever since it made its first appearance. Initially published as a serial story in 1910 in The American Magazine, it was brought out in novel form in 1911. The plot centers round Mary Lennox, a young English girl who returns to England from India, having suffered the immense trauma by losing both her parents in a cholera epidemic. However, her memories of her parents are not pleasant, as they were a selfish, neglectful and pleasure-seeking couple. Mary is given to the care of her uncle Archibald Craven, whom she has never met. She travels to his home, Misselthwaite Manor located in the gloomy Yorkshire, a vast change from the sunny and warm climate she was used to. When she arrives, she is a rude, stubborn and given to stormy temper tantrums. However, her nature undergoes a gradual transformation when she learns of the tragedies that have befallen her strict and disciplinarian uncle whom she earlier feared and despised. Once when he's away from home, Mary discovers a charming walled garden which is always kept locked. The mystery deepens when she hears sounds of sobbing from somewhere within her uncle's vast mansion. The kindly servants ignore her queries or pretend they haven't heard, spiking Mary's curiosity. The Secret Garden appeals to both young and old alike. It has wonderful elements of mystery, spirituality, charming characters and an authentic rendering of childhood emotions and experiences. Commonsense, truth and kindness, compassion and a belief in the essential goodness of human beings lie at the heart of this unforgettable story. It is the best known of Frances Hodgson Burnett's works, though most of us have definitely heard of, if not read, her other novel Little Lord Fauntleroy. The book has been adapted extensively on stage, film and television and translated into all the world's major languages. In 1991, a Japanese anime version was launched for television in Japan. It remains a popular and beloved story of a child's journey into maturity, and a must-read for every child, parent, teacher and anyone who would enjoy this fascinating glimpse of childhood. One of the most delightful and enduring classics of children's literature, The Secret Garden by Victorian author Frances Hodgson Burnett has remained a firm favorite with children the world over ever since it made its first appearance. Initially published as a serial story in 1910 in The American Magazine, it was brought out in novel form in 1911."" "
16,How+to+win+friends+and+influence+people,Dale Carnegie,4.18,"You can go after the job you want...and get it! You can take the job you have...and improve it! You can take any situation you're in...and make it work for you!Since its release in 1936, How to Win Friends and Influence People has sold more than 15 million copies. Dale Carnegie's first book is a timeless bestseller, packed with rock-solid advice that has carried thousands of now famous people up the ladder of success in their business and personal lives.As relevant as ever before, Dale Carnegie's principles endure, and will help you achieve your maximum potential in the complex and competitive modern age.Learn the six ways to make people like you, the twelve ways to win people to your way of thinking, and the nine ways to change people without arousing resentment."
17,Claudine+at+St.+Calre's+,Enid Blyton,4.1,"This Omnibus Edition contains three books:-The Second Form at St. Clare's (Methuen, 1944)Claudine at St. Clare's (Methuen, 1944)Fifth Formers of St. Clare's (Methuen, 1945)"
19,World+Great+Speeches,-,3.98,"This outstanding compendium of 292 great speeches contains addresses from nearly every historical era and nation, from the formal orations of ancient Greece and the speeches of Julius Caesar, to modern-day addresses by Nelson Mandela, Ronald Regan and Václav Havel.Among the memorable speeches included here are Pericles' funeral oration, St. Bernard's advocacy of the Second Crusade, William Jennings Bryan's ""Cross of Gold"" speech, Winston Churchill's ""Blood, Sweat and Tears"" address, Richard Nixon's speech to the astronauts on the moon, Malcolm X's address on the Black Revolution, and many more. Readers will also find time-honored declamations by St. Francis, Martin Luther, John Calvin, Napoleon, Victor Hugo, Leon Trotzky, Mohandas K. Gandhi, Dylan Thomas, Fulton J. Sheen, Adlai Stevenson, Walter Reuther, and many others−over 240 speakers in all.For this newly updated edition, Stephen J. McKenna, Assistant Professor of English at The Catholic University of America, has added 14 important speeches delivered between 1974 and 1997. These new selections include Barbara Jordan's Opening Statement to the House Judiciary Committee for the Nixon Impeachment Proceedings (1974); Alexander Solzhenitsyn's Harvard Commencement Address (1978); Ronald Regan's First Inaugural Address (1981): Nelson Mandela's Address to a Rally in Cape Town on His Release from Prison (1990); Václav Havel's Address to a Joint Session of Congress (1990); the Earl of Spencer's Tribute to Diana, Princess of Wales (1997); and more.Rich with drama of history, the speeches in this volume will serve you time and time again by suggesting provocative themes and historical parallels, and by providing apt quotations, important reference passages, and a wide range of other valuable material."
20,Children+Treasury+of+Immortal+Classics,-,3.83,"""For sheer storytelling delight and pure adventure, Treasure Island has never been surpassed. From the moment young Jim Hawkins first encounters the sinister Blind Pew at the Admiral Benbow Inn until the climactic battle for treasure on a tropic isle, the nevel creates scenes and characters that have firetd the imaginations of generations of readers. Written by a superb prose stylist, a master of both action and atmosphere, the story centers upon the conflict between good and evil - but in this case a particularly engaging form of evil. It is the villainy of that most ambiguous rogue Long John Silver that sets the tempo of this tale of treachery, greed, and daring. Designed to forever kindle a dream of high romance and distant horizons, Treasure Island is, in the words of G. K. Chesterton, 'the realization of an ideal, that which is promised in its provocative and beckoning map; a vision not only of white skeletons but also green palm trees and sapphire seas.' G. S. Fraser terms it 'an utterly original book' and goes on to write: 'There will always be a place for stories like Treasure Island that can keep boys and old men happy.'"
21,A+woman+of+Substance,Barbara Taylor Bradford,4.17,"A celebration of an indomitable spirit, here is New York Times bestselling author Barbara Taylor Bradford's dazzling saga of a woman who dared to dream--and to triumph against all odds... In the brooding moors above a humble Yorkshire village stood Fairley Hall. There, Emma Harte, its oppressed but resourceful servant girl, acquired a shrewd determination. There, she honed her skills, discovered the meaning of treachery, learned to survive, to become a woman, and vowed to make her mark on the world.In the wake of tragedy she rose from poverty to magnificent wealth as the iron-willed force behind a thriving international enterprise. As one of the richest women in the world Emma Harte has almost everything she fought so hard to achieve--save for the dream of love, and for the passion of the one man she could never have. Through two marriages, two devastating wars, and generations of secrets, Emma's unparalleled success has come with a price. As greed, envy, and revenge consume those closest to her, the brilliant matriarch now finds herself poised to outwit her enemies, and to face the betrayals of the past with the same ingenious resolve that forged her empire."
22,Murder+in+the+Mews,Agatha Christie,3.76,"How did a woman holding a pistol in her right hand manage to shoot herself in the left temple? What was the link between a ghost sighting and the disappearance of top secert military plans? How did the bullet that killed Sir Gervase shatter a mirror in another part of the room? And who destroyed the `eternal triangle' of love involving renowned beauty, Valentine Chantry?Hercule Poirot is faced with four mystifying cases - Murder in the Mews, The Incredible Theft, Dead Man's Mirror and Triangle at Rhodes - each a miniature classic of characterisation, incident and suspense."
23,7+habits+of+highly+effective+people,Stephen Covey,4.08,"When Stephen Covey first released The Seven Habits of Highly Effective People, the book became an instant rage because people suddenly got up and took notice that their lives were headed off in the wrong direction; and more than that, they realized that there were so many simple things they could do in order to navigate their life correctly. This book was wonderful education for people, education in how to live life effectively and get closer to the ideal of being a ‘success’ in life.But not everyone understands Stephen Covey’s model fully well, or maybe there are some people who haven’t read it yet. This is definitely true because we still see so much failure all around us. Now, I am not saying that by using Covey’s model, or anyone else’s model for that matter, you can become a sure-shot success, but at least we should have seen many more successes around us already judging by the number of copies the book has sold! So, where is the shortcoming?There are two main problems here, and we are talking only about the people who have read the book already. The first problem is that most people are too lazy to implement the ideals of Stephen Covey in their lives. They consider his masterpiece of a book as a mere coffee-table book or a book that you use for light reading when you are traveling and then forget all about it. They do not realize that this book contains life-changing information. Or, they take the information and do not make the effort to actually utilize it so that it becomes knowledge for them.The second problem is that a lot of people have a myopic view of Covey’s ideals. These are people who are impressed by the book already. If you ask them what the seven habits are, they can rattle them off end to end, but then they miss the larger picture. They do not understand that Covey was trying to tell more than he wrote in words. There are hidden implications in this book, yes, and a lot of people have just failed to see through them.That is what we are trying to do. We are trying to show you how Covey’s book, or rather, his model, was a complete model in itself. There was nothing amiss about it. If you implement it, there should be no aspect of your life that should go untouched. The only thing is that you have to understand these ideals and try to implement them in your life.But, before we barge into that area, it is extremely important to understand what these ideals are. What was the model that was propounded by Stephen Covey in his mega-famous book? We shall begin by trying to understand his model first, and then interpret it in such a way that it pertains to every aspect of our life."
24,7+habits+of+highly+effective+teenagers+,Sean Covey,4.03,"Being a teenager is both wonderful and challenging. In The 7 Habits of Highly Effective Teens, author Sean Covey applies the timeless principles of the 7 Habits to teens and the tough issues and life-changing decisions they face. In an entertaining style, Covey provides a step-by-step guide to help teens improve self-image, build friendships, resist peer pressure, achieve their goals, get along with their parents, and much more. In addition, this book is stuffed with cartoons, clever ideas, great quotes, and incredible stories about real teens from all over the world. The 7 Habits of Highly Effective Teens will engage teenagers unlike any other book.An indispensable book for teens, as well as parents, grandparents, and any adult who influences young people, The 7 Habits of Highly Effective Teens is destined to become the last word on surviving and thriving as a teen and beyond."
25,Mouse+in+space,Geronimo Stilton,4.25,"Each Geronimo Stilton book is fast-paced, with lively full-color art and a unique format kids 7-10 will love.New Mouse City was in danger! An evil professor was threatening us all with his terrible inventions. The authorities called upon me, Geronimo Stilton, to thwart his plans by traveling on a top secret mission--to outer space! I was totally unprepared to go. But moldy mozzarella, my trip was out of this world!"
26,A+fabumouse+vacations+for+Geronimo,Geronimo Stilton,4.17,"Enter the world of Geronimo Stilton, where another funny adventure is always right around the corner. Each book is a fast-paced adventure with lively art and a unique format kids 7-10 will love.Sometimes a busy businessmouse like me needs a nice, relaxing vacation. But of all the rotten rats' luck -- every time I tried to get away, disaster struck. My aunt Dizzy Fur's mouse hole caught on fire, my office was flooded, and our printing press broke down! When I was finally ready to depart, all the good trips were booked up. I was stuck in a flea-ridden old hotel, sharing a room with a bunch of Gerbil Scouts! I couldn't wait to get back to my comfy home in New Mouse City...."
27,Cavemice+The+Stone+of+Fire,Geronimo Stilton,4.16,"This NEW Geronimo Stilton series spin-off is set in the Stone Age!Who is Geronimo Stiltonoot?He is a cavemouse -- Geronimo Stilton's ancient ancestor. He runs the stone newspaper in the prehistoric village of Old Mouse City. From dealing with dinosaurs to dodging meteorites, his life in the Stone Age is full of adventure!THE STONE OF FIREOld Mouse City is in an uproar. The most precious artifact in the mouseum -- the Stone of Fire -- has been stolen! Geronimo Stiltonoot and his cavemouse friend Hercule Poirat are on the case. It's up to them to retrieve the stone from the ferocious Tiger Khan and his band of fearsome felines!"
28,"Geronimo+Stilton,+secret+Agent",Geronimo Stilton,4.25,"
  Who is Geronimo Stilton?
That's me! I run a newspaper, but my true passion is writing adventure stories. Here in New Mouse City, the capital of Mouse Island, my books are all bestsellers! My stories are funny, fa-mouse-ly funny. They are whisker-licking-good tales, and that's a promise!
  GERONIMO STILTON, SECRET AGENT
My sister, Thea, is the mystery-loving rodent, not me! But somehow I found myself going underground to find an important missing document. Slimy Swiss cheese I hardly knew where to start! Geronimo Stilton, Secret Agent Mouse? Maybe I could get used to that...."
29,The+Race+across+America,Geronimo Stilton,4.15,"I, Geronimo Stilton, am not a big fan of races. I like to take my time and smell the cheese! But when my friend Bruce Hyena invited me to race across America on my bicycle, I just couldn't resist. And holey cheese, what a fabumouse adventure we had!"""
30,The+mystery+of+Missing+man,Enid Blyton,3.94,"A children's whodunnit featuring the five Find-Outers, who think they are in for a boring time in the village - that is until a convict escapes and a mystery that needs solving presents itself, thanks to a travelling fair and a conference of beetle lovers."
31,Wintercraft,Jenna Burtenshaw,3.64,"Ten years ago Kate Winters' parents were taken by the High Council's wardens to help with the country's war effort. Now the wardens are back...and prisoners, including Kate's uncle Artemis, are taken south on the terrifying Night Train. Kate and her friend Edgar are hunted by a far more dangerous enemy. Silas Dane - the High Council's most feared man - recognises Kate as one of the Skilled; a rare group of people able to see through the veil between the living and the dead. His spirit was damaged by the High Council's experiments into the veil, and he's convinced that Kate can undo the damage and allow him to find peace.The knowledge Kate needs lies within Wintercraft - a book thought to be hidden deep beneath the graveyard city of Fume. But the Night of Souls, when the veil between life and death is at its thinnest, is just days away and the High Council have their own sinister plans for Kate and Wintercraft."
32,The+mystery+of+Missing+necklace,Enid Blyton,3.97,"Who could be burgling the village's jewels? There is a gang of thieves using Peterswood as their headquarters! Luckily, Fatty's disguises are better than ever - no one recognises him as a balloon seller or the old man in the village. He is just the person to get the Five Find-Outers to the bottom of this mystery..."
33,The+Swiss+Family+Robinson,Johann Wyss,3.92,"The Robinsons leave their home in Switzerland planning to settle half a world away. But things do not turn out as they had expected. The sole survivors of a terrible shipwreck, they wash ashore to learn that the danger has only begun. Their new world will test their courage, cleverness, endurance, and faith as they struggle to survive and create a civilization of their own in the wilderness. Note: This Townsend Library classic has been carefully edited to be more accessible to today's students. It includes a brief author's biography and an afterword that provides important context about the work."
34,the+captain+underpants+extra+crunchy+book+o+fun,dav pilkey,4.05,"They defeated Dr. Diaper! They trampled the terrible Talking Toilets! They crushed the crazy Cafeteria Ladies from outer space! And they prevented preposterous Professor Poopypants from pulverizing the planet! Now George and Harold are back for more fun and games with their wedgie-powered superhero, Captain Underpants!Join George and Harold as they play hilarious pranks on clueless Mr. Krupp and get caught in some very puzzle-ing situations. And they'll show you how to make your very own comic books -- complete with that world-famous cheesy animation technique, Flip-O-Rama!"
35,A+brief+history+of+time,Stephen Hawking,4.16,"In the ten years since its publication in 1988, Stephen Hawking's classic work has become a landmark volume in scientific writing, with more than nine million copies in forty languages sold worldwide. That edition was on the cutting edge of what was then known about the origins and nature of the universe. But the intervening years have seen extraordinary advances in the technology of observing both the micro- and the macrocosmic worlds. These observations have confirmed many of Professor Hawking's theoretical predictions in the first edition of his book, including the recent discoveries of the Cosmic Background Explorer satellite (COBE), which probed back in time to within 300,000 years of the universe's beginning and revealed wrinkles in the fabric of space-time that he had projected. Eager to bring to his original text the new knowledge revealed by these observations, as well as his own recent research, Professor Hawking has prepared a new introduction to the book, written an entirely new chapter on wormholes and time travel, and updated the chapters throughout."
36,Great+Short+Stories,Anton Chekov,3.68,"50 Great Short Stories is a comprehensive selection from the world's finest short fiction. The authors represented range from Hawthorne, Maupassant, and Poe, through Henry James, Conrad, Aldous Huxley, and James Joyce, to Hemingway, Katherine Anne Porter, Faulkner, E.B. White, Saroyan, and O'Connor. The variety in style and subject is enormous, but all these stories have one point in common—the enduring quality of the writing, which places them among the masterpieces of the world's fiction."
39,The+story+of+my+life,M.K Gandhi,4.08,"An American classic rediscovered by each generation, The Story of My Life is Helen Keller’s account of her triumph over deafness and blindness. Popularized by the stage play and movie The Miracle Worker, Keller’s story has become a symbol of hope for people all over the world. This book–published when Keller was only twenty-two–portrays the wild child who is locked in the dark and silent prison of her own body. With an extraordinary immediacy, Keller reveals her frustrations and rage, and takes the reader on the unforgettable journey of her education and breakthroughs into the world of communication. From the moment Keller recognizes the word “water” when her teacher finger-spells the letters, we share her triumph as “that living word awakened my soul, gave it light, hope, joy, set it free!” An unparalleled chronicle of courage, The Story of My Life remains startlingly fresh and vital more than a century after its first publication, a timeless testament to an indomitable will."
41,Chicken+Soup+for+the+teenage+soul:+The+real+Deal,-,3.91,"School: It's frustrating, it's boring, it's embarrassing. But it's also thought provoking, challenging and full of possible friends. And until you turn 18, like it or not, it's just about your whole life.So wha's the deal?Chicken Soup for the Soul knows that school is more than classes and tests. It's also a social scene, filled with cliques, clubs and life-changing decisions (or so it seems this week). It's where you meet your best friends...and run into your worst enemies. And it's an opportunity to figure out what you want to do--whether it's kick a soccer ball, play the trombone or act in a play.Sometimes it's overwhelming and confusing, but don't worry, it's like that for everyone. That's what the stories in this book are all about. They're from real teens, and they're about the bizarre, embarrassing and sometimes triumphant things that really happened to them. And they're here to give you some perspective on everything that goes down at your school...and outside of it, too.Put that together with weird facts, cool graphics, fun advice and quizzes designed to help you figure out who you are and what you're up to, and you've got the real deal on school--full of all the laughter, tears and daily drama that life is all about. New cool format! More great stories!"
43,Scoop,Kuldip Nayar,3.86,"Lord Copper, newspaper magnate and proprietor of the ""Daily Beast"", has always prided himself on his intuitive flair for spotting ace reporters. That is not to say he has not made the odd blunder, however, and may in a moment of weakness make another. Acting on a dinner-party tip from Mrs Algernon Smith, he feels convinced that he has hit on just the chap to cover a promising little war in the African Republic of Ishmaelia. One of Waugh's most exuberant comedies, ""Scoop"" is a brilliantly irreverent satire of ""Fleet Street"" and its hectic pursuit of hot news."
44,Love+among+the+haystacks+and+other+stories,D.H. Lawrence,3.53,"Love Among the Haystacks and Other Stories gathers together all of Lawrence's short stories not collected in the Prussian Officer volume. It offers a range of work from Lawrence's earliest surviving published story, 'A Prelude', to 'New Eve and Old Adam' written at the height of his early maturity in 1913. Each story in this edition appears in a new, authoritative text based on the manuscripts, typescripts, corrected proofs and early printings drawn from libraries and private collections in England, Italy and America. All the stories have thus been stripped of the layers of errors introduced by typists, editors and printers in their previous publication. John Worthen's introduction sets out the composition and publication history of each story, and gives a full account of the context in which it was created. A textual apparatus records all variant readings and explanatory notes explain allusions, dialect forms and foreign words."
45,Love+Story,Erich Segal,3.61,"Oliver Barrett IV, a wealthy jock from a stuffy WASP family on his way to a Harvard degree and a career in law . . . Jenny Cavilleri, a sharp-tongued, working-class beauty studying music at Radcliffe . . .Opposites in nearly every way, Oliver and Jenny are kindred spirits from vastly different worlds. Falling deeply and powerfully, their attraction to one another defies everything they have ever believed—as they share a passion far greater than anything they dreamed possible . . . and explore the wonder of a love that must end too soon.One of the most adored novels of our time, this is the book that defined a generation—a story of uncompromising devotion, of life as it really is . . . and love that changes everything."
47,A+Fathers+gift+to+his+Daughter,Mohinder M. Monga,0,"On March 19, 1995, I was given the most wonderful gift that anyone could ask. On this day, I was blessed with my daughter, Rachel-Anne Julia. You really never know how small things are until a gift like this is given. ""Dad"" is one of the most honorable titles that you could be awarded. I have always struggled with making sure that my daughter always knows that I love her. At first, I worked to make sure that she would have things, but growing up along side my daughter has opened my eyes. I have come to realize that the one thing that I can give her, that will last forever, is memories. Memories of, not only our life together, but the memories of the struggles and emotions that I had experienced as a young man in the hopes of helping to guide her. Within this book you will find quotes and inspirational sayings gathered throughout my life experiences. At times, you will identify the writings created by me. Within these personal writings, I have conveyed my emotions, my feelings, and my love. To my daughter, this book can serve as a simple guidebook of suggestions and thoughts from her Father. For those who honor me with their choice to read this, I hope that I can inspire you.help guide you.and most of all provide some writings that will help to facilitate your evaluation of your life and choices. I hope that one can use this book as an inspirational and uplifting resource. I know that the four years that it took for me to complete this body of work I was able to evaluate my life by using some of the readings. I hope that each of you will be able to utilize this work for your own self-guiding and self-motivating purpose."
48,The+Go-+Giver,Bob Burg and John David Mann,4.28,"With their national bestseller The Go-Giver, Bob Burg and John David Mann took the business world by storm, showing that giving is the most fulfilling and effective path to success. That simple, profound story has inspired hundreds of thousands of readers around the world-but some have wondered how its lessons stand up to the tough challenges of everyday real-world business.  Now Burg and Mann answer that question in Go-Givers Sell More, a practical guide that makes giving the cornerstone of a powerful and effective approach to selling.  Most of us think of sales as convincing potential customers to do something they don't really want to. This mentality sets up an adversarial relationship and makes the sales process much harder than it has to be.  As Burg and Mann demonstrate, it's far more productive (and satisfying) when salespeople think like Go-Givers. Cultivate a trusting relationship and focus exclusively on creating value for the other person, say the authors, and great results will follow automatically.  Drawing on a wide range of examples of real-life salespeople who have prospered by giving more, Burg and Mann offer tips and strategies that anyone in sales can start applying right away."
49,No+Body's+Perfect,Kimberly Kirberger,3.98,"From the co-author of the best-selling CHICKEN SOUP FOR THE TEENAGE SOUL books comes a constructive and inspirational book designed to help girls learn to love themselves by first loving their bodies.Kimberly Kirberger, co-author of the best-selling CHICKEN SOUP FOR THE TEENAGE SOUL books and a renowned expert on teen issues, addresses the topic of body image in LOVING YOUR BODY / LOVING YOURSELF. Many problems in girls' lives stem from a lack of self-esteem and self-love: eating disorders, depression, drug use, and more. Through powerful stories and poems from real teens, as well as personal tales and advice from the author, this book strives to help girls learn to accept, love, and appreciate their bodies--and, in turn, to love themselves."
50,The+Book+of+Tomorrow,Cecelia Ahern,3.66,"Tamara Goodwin has always lived in the here and now, never giving a second thought to tomorrow. Until a traveling library arrives in her tiny village, bringing with it a mysterious, large leather-bound book locked with a gold clasp and padlock.What she discovers within the pages takes her breath away and shakes her world to its core.A mesmerizing story about how tomorrow can change what happens today..."
52,Little+Women,Louisa May Alcott,4.06,"Generations of readers young and old, male and female, have fallen in love with the March sisters of Louisa May Alcott’s most popular and enduring novel, Little Women. Here are talented tomboy and author-to-be Jo, tragically frail Beth, beautiful Meg, and romantic, spoiled Amy, united in their devotion to each other and their struggles to survive in New England during the Civil War.It is no secret that Alcott based Little Women on her own early life. While her father, the freethinking reformer and abolitionist Bronson Alcott, hobnobbed with such eminent male authors as Emerson, Thoreau, and Hawthorne, Louisa supported herself and her sisters with �woman’s work,” including sewing, doing laundry, and acting as a domestic servant. But she soon discovered she could make more money writing. Little Women brought her lasting fame and fortune, and far from being the �girl’s book” her publisher requested, it explores such timeless themes as love and death, war and peace, the conflict between personal ambition and family responsibilities, and the clash of cultures between Europe and America."
